Time: 49.2485160828 seconds, RAM: 36.30859375 Mb.
Time: 49.1519579887 seconds, RAM: 36.44140625 Mb.
Time: 50.4802708626 seconds, RAM: 36.359375 Mb.
Time: 48.7148959637 seconds, RAM: 36.21484375 Mb.
Time: 50.1432211399 seconds, RAM: 36.34375 Mb.
Time: 48.9174091816 seconds, RAM: 36.44140625 Mb.
Time: 52.7996628284 seconds, RAM: 36.30859375 Mb.
Time: 53.1379430294 seconds, RAM: 36.37890625 Mb.
Time: 52.1376318932 seconds, RAM: 36.37109375 Mb.
Time: 52.1557149887 seconds, RAM: 36.4140625 Mb.
Time: 53.7048108578 seconds, RAM: 36.4140625 Mb.
Time: 51.4653408527 seconds, RAM: 36.3671875 Mb.
Time: 52.6761350632 seconds, RAM: 36.27734375 Mb.
Time: 52.7798411846 seconds, RAM: 36.6328125 Mb.
Time: 52.5519990921 seconds, RAM: 36.40625 Mb.
Time: 52.3189580441 seconds, RAM: 36.484375 Mb.
Time: 50.8363800049 seconds, RAM: 36.30859375 Mb.
Time: 52.3921189308 seconds, RAM: 36.31640625 Mb.
Time: 51.1058189869 seconds, RAM: 36.28125 Mb.
Time: 52.4389929771 seconds, RAM: 36.42578125 Mb.
Time: 52.9537260532 seconds, RAM: 36.40625 Mb.
Time: 51.2009811401 seconds, RAM: 36.421875 Mb.
Time: 53.5302729607 seconds, RAM: 36.28515625 Mb.
Time: 52.8978829384 seconds, RAM: 36.3828125 Mb.
Time: 51.6280100346 seconds, RAM: 36.14453125 Mb.
Time: 51.8176319599 seconds, RAM: 36.39453125 Mb.
Time: 51.9792449474 seconds, RAM: 36.4453125 Mb.
Time: 56.0136721134 seconds, RAM: 36.4453125 Mb.
Time: 58.74563694 seconds, RAM: 36.2421875 Mb.
Time: 54.3227419853 seconds, RAM: 36.640625 Mb.
