Time: 56.5860981941 seconds, RAM: 36.00390625 Mb.
Time: 66.0624289513 seconds, RAM: 36.28125 Mb.
Time: 60.6545579433 seconds, RAM: 36.14453125 Mb.
Time: 56.3187539577 seconds, RAM: 36.3046875 Mb.
Time: 58.5360739231 seconds, RAM: 36.25390625 Mb.
Time: 59.5552279949 seconds, RAM: 36.21484375 Mb.
Time: 57.2634711266 seconds, RAM: 36.2109375 Mb.
Time: 53.4020979404 seconds, RAM: 36.234375 Mb.
Time: 53.0586628914 seconds, RAM: 36.38671875 Mb.
Time: 54.5544059277 seconds, RAM: 36.3515625 Mb.
Time: 54.6783430576 seconds, RAM: 36.1171875 Mb.
Time: 55.8201980591 seconds, RAM: 36.36328125 Mb.
Time: 53.5215089321 seconds, RAM: 36.4296875 Mb.
Time: 53.35633111 seconds, RAM: 36.0390625 Mb.
Time: 54.0197520256 seconds, RAM: 36.26953125 Mb.
Time: 52.1672720909 seconds, RAM: 36.1875 Mb.
Time: 52.9402210712 seconds, RAM: 36.16796875 Mb.
Time: 53.0713050365 seconds, RAM: 36.1875 Mb.
Time: 53.5435671806 seconds, RAM: 36.16796875 Mb.
Time: 51.7392709255 seconds, RAM: 36.26171875 Mb.
Time: 53.7815649509 seconds, RAM: 36.328125 Mb.
Time: 52.5068068504 seconds, RAM: 36.23046875 Mb.
Time: 51.3715569973 seconds, RAM: 36.27734375 Mb.
Time: 53.1684379578 seconds, RAM: 36.37890625 Mb.
Time: 51.5101850033 seconds, RAM: 36.1953125 Mb.
Time: 52.8262450695 seconds, RAM: 36.2265625 Mb.
Time: 52.5052280426 seconds, RAM: 36.1875 Mb.
Time: 56.2897510529 seconds, RAM: 36.00390625 Mb.
Time: 55.372492075 seconds, RAM: 36.11328125 Mb.
Time: 53.2771449089 seconds, RAM: 36.265625 Mb.
